split,image_path,label_path,n_boxes,width,height,md5
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00000_DJI_20230926134722_0016_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00000_DJI_20230926134722_0016_V.txt,1,5280,3956,f4919e9aff7bcf0e8dda8923ea70fffb
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00001_DJI_20230809145621_0023_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00001_DJI_20230809145621_0023_V.txt,6,4000,3000,8b1c30dae18441610dfafe586f772f8e
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00002_DJI_20230726084602_0034_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00002_DJI_20230726084602_0034_V.txt,0,5280,3956,9ce58b0a7304906ec7df935c2f6521ff
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00003_DJI_20230926134701_0013_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00003_DJI_20230926134701_0013_V.txt,0,5280,3956,bc019463c0db2ab08c6b25ab0e6028a0
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00004_DJI_20230627133316_0120_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00004_DJI_20230627133316_0120_V.txt,0,5280,3956,f88cdf378ec8eb30e37a5c77b51341aa
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00005_DJI_20230627132857_0039_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00005_DJI_20230627132857_0039_V.txt,6,5280,3956,c367206a3c6b1274b148bbe82c325fbd
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00006_DJI_20230627133115_0084_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00006_DJI_20230627133115_0084_V.txt,1,5280,3956,4632b8214cd5a0626ed2ed8b5b5d3b53
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00007_DJI_20230627133201_0098_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00007_DJI_20230627133201_0098_V.txt,11,5280,3956,db0a93b4ca74e2d2e77ce5fb6a9cc2b5
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00008_DJI_20230926114343_0029_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00008_DJI_20230926114343_0029_V.txt,0,5280,3956,a702c4c966cdf76ec415afaf08c6232a
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00009_DJI_20230926115151_0022_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00009_DJI_20230926115151_0022_V.txt,1,5280,3956,579e6624c10bbc0fee6f67aa605a6f42
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00010_DJI_20230809145628_0032_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00010_DJI_20230809145628_0032_V.txt,3,4000,3000,30dbfd2207db7630db48a1246c33c0a2
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00011_DJI_20230926135419_0006_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00011_DJI_20230926135419_0006_V.txt,0,5280,3956,687b6e4ee3af1cf075dff9eabd02c5b7
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00012_DJI_20230726084547_0031_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00012_DJI_20230726084547_0031_V.txt,0,5280,3956,34cb78acca1047280bd9fd22b704db63
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00013_DJI_20230809145619_0021_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00013_DJI_20230809145619_0021_V.txt,5,4000,3000,151d992b559912900aab4f8d1aa01730
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00014_DJI_20230809145631_0035_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00014_DJI_20230809145631_0035_V.txt,3,4000,3000,c1e71f41a713940b6ac56f759e1a0672
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00015_DJI_20230926134844_0031_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00015_DJI_20230926134844_0031_V.txt,0,5280,3956,2de8d05830a83d15b0f24fdbb8cbcb50
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00016_DJI_20230627132839_0033_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00016_DJI_20230627132839_0033_V.txt,0,5280,3956,b79cab0aa256a9ebec9a4a27cd604d4d
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00017_DJI_20230926135519_0017_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00017_DJI_20230926135519_0017_V.txt,0,5280,3956,e2e101522e0f319af9b782e1094f52af
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00018_DJI_20230809145616_0017_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00018_DJI_20230809145616_0017_V.txt,1,4000,3000,f0116e7bfe7df7543c68a7dd9a3f5298
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00019_DJI_20230809145623_0025_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00019_DJI_20230809145623_0025_V.txt,4,4000,3000,28bf0b2194918f2f641f9c7a7192272e
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00020_DJI_20230627133237_0107_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00020_DJI_20230627133237_0107_V.txt,8,5280,3956,9abd9c79511aba45e6837acef6e7c524
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00021_DJI_20230926134939_0042_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00021_DJI_20230926134939_0042_V.txt,0,5280,3956,ab412e1824d32e0441d36318f8cb5833
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00022_DJI_20230926115156_0023_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00022_DJI_20230926115156_0023_V.txt,0,5280,3956,7864c68540107f203fcabc4afce919d0
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00023_DJI_20230926115248_0032_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00023_DJI_20230926115248_0032_V.txt,1,5280,3956,c0deb19538dbbc5bd5503bc57106ed01
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00024_DJI_20230627132900_0040_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00024_DJI_20230627132900_0040_V.txt,5,5280,3956,66c920b796d766979fc6acd0e02c0020
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00025_DJI_20230726084502_0022_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00025_DJI_20230726084502_0022_V.txt,1,5280,3956,acd6fe9b282b8b1976f923782705a03f
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00026_DJI_20230926135646_0033_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00026_DJI_20230926135646_0033_V.txt,0,5280,3956,68c1bc56100d3303bd80402c2f2d7af4
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00027_DJI_20230627132813_0024_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00027_DJI_20230627132813_0024_V.txt,3,5280,3956,1040f56f5af6b86e79ebab5a3a328ef2
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\images\train\train_00028_DJI_20230809145618_0019_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_overnight\labels\train\train_00028_DJI_20230809145618_0019_V.txt,2,4000,3000,6fa4d2bec9451d3e4e37b417dd520c8a
