split,image_path,label_path,n_boxes,width,height,md5
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00000_DJI_20230926134914_0037_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00000_DJI_20230926134914_0037_V.txt,0,5280,3956,79e2083a5f9f1a552136c442ff64b64d
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00001_DJI_20230627132813_0024_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00001_DJI_20230627132813_0024_V.txt,3,5280,3956,1040f56f5af6b86e79ebab5a3a328ef2
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00002_DJI_20230726084417_0013_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00002_DJI_20230726084417_0013_V.txt,7,5280,3956,248f8170c0519273b470b6b2be91e31b
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00003_DJI_20230726084422_0014_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00003_DJI_20230726084422_0014_V.txt,4,5280,3956,674786fbe165bc27e9c2c358c66a93a0
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00004_DJI_20230926115151_0022_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00004_DJI_20230926115151_0022_V.txt,10,5280,3956,579e6624c10bbc0fee6f67aa605a6f42
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00005_DJI_20230809145616_0017_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00005_DJI_20230809145616_0017_V.txt,1,4000,3000,f0116e7bfe7df7543c68a7dd9a3f5298
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00006_DJI_20230627132857_0039_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00006_DJI_20230627132857_0039_V.txt,6,5280,3956,c367206a3c6b1274b148bbe82c325fbd
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00007_DJI_20230627133240_0108_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00007_DJI_20230627133240_0108_V.txt,6,5280,3956,5ec5ef04c7942d8bbbc67a82ec9729b5
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00008_DJI_20230926114256_0021_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00008_DJI_20230926114256_0021_V.txt,3,5280,3956,4615c0f25d00db443f3fcbd18dd0eeed
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00009_DJI_20230726084512_0024_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00009_DJI_20230726084512_0024_V.txt,9,5280,3956,f007f67da146a70b2445f41c46b09a34
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00010_DJI_20230926115121_0016_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00010_DJI_20230926115121_0016_V.txt,6,5280,3956,f9db16d6b33b877a1a1a8c0b9e009bbb
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00011_DJI_20230809145655_0063_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00011_DJI_20230809145655_0063_V.txt,0,4000,3000,d82b5bf95e24532a76128f21c6fadc38
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00012_DJI_20230926115201_0024_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00012_DJI_20230926115201_0024_V.txt,2,5280,3956,395b88e11d2d92cae8211061624039b7
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00013_DJI_20230726084626_0039_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00013_DJI_20230726084626_0039_V.txt,1,5280,3956,86575d42521210ecf62a4a38b11bc3ed
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00014_DJI_20230926135033_0053_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00014_DJI_20230926135033_0053_V.txt,0,5280,3956,45bc2efb686384b1b10f6b4c5d20da24
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00015_DJI_20230623111053_0049_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00015_DJI_20230623111053_0049_V.txt,0,5280,3956,41990add2077573cf17cd3ca6b433349
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00016_DJI_20230926114306_0023_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00016_DJI_20230926114306_0023_V.txt,13,5280,3956,71b3b94c46a400c1ade412dea755cbb7
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00017_DJI_20230627133204_0099_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00017_DJI_20230627133204_0099_V.txt,1,5280,3956,f798eb27f141feb80647c0c5a984a34a
train,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\images\train\train_00018_DJI_20230627133237_0107_V.jpg,C:\Users\Ramiro\Documents\Trabajo Integrador\cowtrack\data\processed\yolo_aerial_improved\labels\train\train_00018_DJI_20230627133237_0107_V.txt,8,5280,3956,9abd9c79511aba45e6837acef6e7c524
